,X18.20_ride
60883,0
245658,1
9379,3
285,0
23881,0
132119,0
173146,2
306461,0
269219,0
194458,0
53512,0
24916,3
310109,0
400307,0
1860,0
126084,0
191819,9
301617,0
72264,0
133178,0
63182,0
120300,0
171471,2
223246,0
2077,0
293332,0
334268,0
219608,0
293517,0
207000,0
214798,1
273899,0
11983,0
157331,0
311771,2
267991,6
387508,0
320797,0
382407,1
394184,1
190019,1
20871,0
312596,0
269513,0
278823,0
373183,0
53392,0
365441,0
87446,0
326778,0
335842,0
318495,0
396813,0
101879,4
119615,0
83092,0
304966,0
22724,0
368232,0
42066,0
285929,0
111640,0
289816,0
234350,2
164103,0
10285,0
392611,0
408975,0
254725,0
127098,0
31099,0
195547,0
45042,9
23853,0
231041,0
148608,0
168214,0
213768,0
365298,0
239947,0
11612,0
225871,0
284225,0
122594,0
414141,0
379109,0
322870,0
229169,1
379918,0
403881,0
280528,0
288627,0
349537,0
235960,8
324510,0
374589,1
264446,3
239036,0
140923,0
327105,0
243120,0
21791,0
281224,0
222391,0
216884,0
38912,1
184642,0
389640,0
398251,1
359229,1
150550,0
352659,0
29261,1
109884,5
152723,5
307807,0
282838,0
191980,0
145716,0
331210,0
65217,0
41270,0
32312,1
123651,0
188768,0
413955,0
386003,0
139532,0
166358,0
328077,0
348413,0
192579,0
377155,0
230354,26
344611,7
52498,0
95153,0
264370,0
344024,0
388199,0
223543,0
315265,0
132436,0
148767,1
411209,0
39219,0
51150,0
111173,0
245704,0
81483,0
283398,0
392801,1
353730,0
238660,0
293899,0
269449,1
12899,1
13433,12
159682,0
190087,0
115954,0
319662,0
208635,0
254696,0
51375,0
350886,0
369546,0
277294,0
109988,0
304824,0
228921,0
198249,0
271005,0
68846,0
165615,0
12078,0
146206,2
325012,0
297292,0
14322,1
195411,0
387019,7
84269,0
186813,0
74413,1
341886,0
180186,0
185986,4
150346,0
50529,0
47270,0
12073,0
153274,0
208061,0
244093,2
359679,0
56242,0
314732,0
79726,0
240590,0
183461,0
194909,0
148470,0
377578,0
231389,0
198542,0
120003,0
341957,0
328261,0
286465,0
346576,0
34462,0
212804,0
207069,5
202404,1
51779,0
356333,0
1020,0
25887,1
48429,2
244234,2
82118,0
227311,0
194616,0
265982,55
402593,4
403345,1
323445,1
93292,0
128234,0
282845,0
259290,0
116473,0
245628,2
233054,7
387700,4
54331,0
332793,7
276502,0
6031,2
407744,0
14858,3
27292,0
140994,0
117982,0
403613,0
241098,0
326890,0
239668,1
17613,0
32852,0
163325,0
196486,2
29129,1
155840,0
35542,4
178064,5
338506,0
207259,0
409666,0
209030,0
312974,0
173782,0
259981,0
54235,1
13343,0
334619,0
373074,1
360634,1
351611,0
348194,1
123653,0
201430,5
322271,0
198553,0
130380,0
377667,5
131513,0
57832,0
84313,0
108175,0
247758,1
385739,0
277905,0
296451,0
404984,0
59584,1
353186,0
145357,0
77099,0
129078,1
114059,0
233913,0
245596,0
407297,0
75878,0
193958,1
166831,0
297340,5
235425,0
308047,1
31347,0
164569,0
359787,9
386431,0
50005,0
298229,5
264066,0
28315,0
122924,2
177666,0
131779,0
82363,0
87219,1
353755,0
278741,4
411396,0
126601,0
6459,1
154937,1
94892,0
94280,0
404610,5
360465,3
57078,0
260697,0
408540,0
209267,0
165966,0
79174,1
235174,0
73825,0
211954,0
374449,0
263940,0
226835,0
231567,0
367648,1
337308,0
278647,2
338772,0
410720,0
152625,0
128423,6
230710,0
160208,1
289158,0
143659,1
156707,1
129216,2
180434,1
266314,4
70308,1
199467,0
383972,0
352563,0
338547,0
161290,0
301117,2
236138,0
91885,1
66610,0
262858,0
272974,0
61254,1
233703,0
231754,1
58296,2
108,0
56571,0
217871,0
300099,0
372413,0
190187,20
107055,0
395781,0
74580,0
225755,0
65006,0
28425,1
382529,0
338358,0
190698,0
214369,0
44859,0
185954,0
129267,0
342852,8
242398,0
28509,0
261639,0
182211,0
45231,0
185130,0
57960,0
105599,0
23153,0
322121,0
251697,1
115930,0
189557,2
195678,0
105716,0
172852,0
92821,0
322913,1
63837,0
243703,0
245331,0
326160,0
371062,0
264333,1
151144,0
355436,2
27874,0
153982,0
117464,0
26970,0
158239,0
147103,0
335592,0
78109,0
25545,0
95210,0
195200,0
221803,0
40178,0
159949,2
269201,0
57560,2
268795,0
376040,7
230381,11
174652,0
384032,0
284,1
361471,17
374630,0
8437,0
4863,0
145966,0
4861,0
346073,6
406472,0
186577,0
265539,4
116842,0
76070,1
392781,1
256821,0
72569,4
399108,0
40549,0
383721,0
345638,0
231612,2
92594,1
151419,0
212612,0
64093,0
338127,0
118153,0
105658,0
253949,1
326975,29
382081,0
79105,1
185214,0
34237,1
12364,2
264028,7
165447,1
71790,0
319148,0
