,X18.20_ride
307055,1
195840,1
175234,0
316997,0
294636,2
214998,0
127790,0
141416,1
182437,0
291496,0
338202,0
1189,4
65723,0
335526,0
305431,0
179130,1
134254,0
382627,0
311443,0
156521,0
92800,0
151562,0
82959,0
240401,0
21755,0
343019,1
373253,1
93957,0
321432,0
148993,0
107112,0
63610,0
313901,1
175695,0
369912,0
197163,1
122041,0
232461,3
330170,0
36317,0
263412,0
99349,2
350875,0
30233,4
167661,0
219317,1
70858,0
36010,0
120815,1
301510,0
48521,0
159040,0
206629,0
335783,0
82621,0
390132,0
391088,14
290804,1
250967,3
282860,0
99950,0
118425,0
176929,0
219272,0
218760,10
268692,0
61469,3
269887,0
150051,1
139441,0
303570,0
37980,0
48483,0
385865,0
41282,0
166250,0
261530,0
302855,0
65404,0
255189,0
22965,1
366022,0
7038,0
191593,3
229537,2
397394,0
394972,3
225837,0
360747,0
413038,0
95400,0
32736,1
210197,0
258269,0
310918,0
97212,0
352825,0
95829,0
411303,0
293126,0
372346,0
133630,4
328862,0
365197,0
341667,0
130431,3
76395,2
210121,0
154266,0
382453,10
378967,0
64555,0
81543,1
189299,0
128356,0
253906,2
350557,0
263202,0
74833,0
289970,0
222715,0
347294,3
95012,0
104129,0
293599,0
171194,0
317135,2
387055,1
19506,0
377735,0
212866,0
276649,4
133361,0
146620,0
56037,0
195381,0
372586,0
26414,0
63918,0
3218,0
320037,0
306515,0
66861,0
224731,0
409979,1
267199,0
408812,0
77217,0
389515,1
250906,0
335075,0
391687,1
84919,0
345632,9
38125,0
51126,4
173967,5
203780,4
346813,0
397950,0
160955,2
51286,0
210012,0
72967,0
253378,0
126023,0
63514,1
84982,0
180504,0
138953,2
5803,0
187206,0
276942,0
276426,1
180039,0
158344,4
359151,1
26796,5
327313,0
405854,1
335631,1
280859,11
25879,0
304537,0
377673,0
138550,0
249010,1
312943,1
347858,0
95390,0
121134,0
381910,0
325290,3
26184,0
280343,0
271616,0
236050,43
68133,0
217441,1
54290,0
35592,0
341564,5
70787,0
246475,0
105649,0
357570,0
251555,1
98604,0
151219,0
208058,0
143250,0
124985,6
285751,0
362312,0
99484,0
220510,9
69873,0
390149,1
17973,0
217744,0
265826,0
120409,0
299305,0
171440,0
320546,0
202037,0
338574,0
35880,1
71785,0
197144,0
319743,3
316078,0
227128,0
190500,19
238121,0
243003,0
355025,0
300264,6
260626,0
239364,0
100430,0
395646,0
61436,0
284646,0
253557,0
201143,0
121401,0
108979,2
153383,0
72634,0
121327,0
236667,1
395931,0
408886,0
24840,0
289301,0
31242,13
301736,0
24781,0
398356,0
45288,3
352556,0
225340,3
20321,0
19543,0
268320,0
74115,0
367728,0
48700,0
230938,0
136608,0
185183,0
239170,0
322755,0
344936,4
80203,0
204699,0
240004,0
391582,0
399077,0
303522,1
108234,0
113225,2
246993,4
78470,0
93511,0
414109,0
215614,9
147581,0
166590,0
252055,0
225626,0
349218,0
134004,0
131691,3
156268,0
185311,0
3829,0
136460,0
92415,1
8580,0
39668,10
404079,0
219689,1
39652,1
232910,11
169133,0
308767,0
369531,0
233684,0
119747,0
49789,0
281781,1
63856,1
363907,1
346451,1
284340,0
156312,0
231860,0
414170,1
156601,1
94142,0
339525,0
276206,9
329883,0
76611,2
80785,0
410405,0
179698,10
339871,0
336498,0
136402,0
103633,0
123739,1
93358,0
54627,0
123202,0
276248,0
48785,0
22615,0
7077,0
101274,0
294641,0
199452,3
57835,0
86485,3
35283,0
414026,2
340372,3
102943,0
402494,0
84162,0
222121,0
113074,1
75768,0
158037,0
207172,0
306292,0
197622,0
139544,0
148839,0
368081,4
184520,0
362597,0
236610,0
138787,0
111968,4
218708,2
22058,0
78499,1
330073,5
186317,0
409537,0
52201,0
73125,0
457,0
359795,0
87958,0
250425,0
122076,0
138655,0
409040,3
231596,0
34204,0
94495,0
225652,0
407585,0
71045,4
247036,4
33919,0
284546,0
252906,0
26009,0
61114,0
27620,0
178811,2
395166,0
15097,1
137446,0
308186,0
267295,0
54481,3
96360,0
72880,0
6036,0
159096,0
219510,0
278917,0
202190,3
168070,0
399861,0
38120,0
293109,2
387407,0
346318,1
328803,0
61609,1
232903,0
399290,0
62183,2
75386,0
9645,0
78583,0
385603,0
82723,0
320319,0
131175,0
32986,0
35044,3
49611,0
237415,0
388192,1
293886,0
8501,6
100133,2
290929,0
296833,0
37129,0
252687,0
94689,0
33134,0
29312,2
294848,0
98972,0
113687,36
271977,0
183984,0
393077,0
181592,0
314147,0
390962,3
201191,10
12321,0
272514,0
1487,1
135092,0
121267,0
224121,0
20518,1
263950,6
18585,0
168719,1
29568,0
55764,0
366529,0
8987,5
155297,0
213852,0
193198,0
378473,1
338767,0
102749,0
212876,0
50291,3
201303,0
256175,6
111130,0
280169,0
349073,0
299208,0
128542,1
157605,0
135580,1
37549,0
252494,0
267340,0
222828,0
120801,0
22110,0
165395,0
34817,1
169372,2
394216,0
237361,0
142263,0
308484,0
402740,1
189632,0
320885,0
114249,4
399104,0
169551,0
180692,2
185513,0
224860,0
392084,0
310100,0
19843,0
29532,3
159056,0
215818,0
51134,5
170644,30
262238,0
172490,0
99422,1
201710,0
244204,1
226076,3
321902,0
396026,0
262614,6
34294,0
291511,0
360185,0
233850,3
337476,0
348164,1
342018,0
278679,0
273611,0
309307,2
96451,1
388231,3
219217,1
267372,8
67275,0
172681,0
262401,0
381136,0
216968,0
131809,0
350958,0
105696,0
92783,0
185682,0
20658,0
285791,0
340016,0
309197,2
238140,0
362566,16
368794,0
206248,0
63596,0
320854,0
34129,0
341951,2
404850,0
397208,1
36125,0
106876,0
220036,0
10823,0
311371,0
99283,0
33603,0
162991,0
408837,0
19306,0
89870,4
52052,0
155106,0
326592,0
361102,1
45062,1
400317,0
307854,0
187522,3
95944,0
25363,5
107580,0
270116,0
36597,0
400062,0
13236,0
161348,0
349117,0
241588,0
315454,0
227240,0
254990,3
380513,0
248255,0
158589,1
349757,0
126807,3
141221,1
32903,0
27663,0
197927,0
328069,3
25760,3
127912,0
69606,0
244323,4
346599,11
186443,0
318487,0
250630,0
245778,0
362428,1
390353,0
23095,0
243666,0
377689,2
27258,0
155560,0
24032,0
399969,0
266692,0
269877,0
9692,0
170852,0
413736,0
104409,0
24881,0
261263,0
237922,0
156708,0
87426,0
177844,1
327158,26
96195,0
21494,0
120024,0
411358,0
107641,0
102780,1
104992,0
367467,0
62225,0
368087,3
57188,5
102666,2
404992,0
392412,0
379781,1
4649,1
45121,4
368555,0
2592,0
316542,3
230242,0
132895,0
223402,0
267738,4
391313,1
82271,0
15601,15
101493,9
24588,0
13943,1
202392,0
69941,0
105368,0
6676,0
57032,0
51738,0
411663,0
138457,0
139869,0
231953,6
26791,2
403204,0
374426,0
338729,4
30670,6
340028,0
389813,0
386205,1
317178,1
55743,0
145837,0
41993,1
114947,0
335251,0
414296,0
345240,0
401135,15
344827,4
348549,5
293700,0
402205,0
267395,5
181881,0
396070,0
15459,0
101096,0
215118,0
303006,0
294755,2
221846,3
332027,0
96974,1
106282,0
156541,0
171614,0
295638,1
49225,0
339100,0
413226,0
169383,1
248158,0
333773,0
58816,2
130727,0
131587,0
28519,3
193991,3
200261,0
299375,0
210395,10
125688,6
187744,0
183941,0
171450,0
346840,0
233051,8
48457,1
269045,0
321227,2
116323,0
344661,0
212636,0
297271,21
400128,0
313328,0
15341,5
158033,0
126416,0
168571,0
375083,0
297026,8
348598,5
355797,0
14983,2
107795,3
315697,0
239071,0
401711,7
91900,0
232353,0
314967,1
306157,0
251008,1
285799,0
331299,1
297397,1
3992,3
182302,0
127131,4
100003,1
215181,0
148562,0
128235,0
226791,0
188563,4
106528,0
362959,0
46016,57
268102,0
251584,2
95802,0
75234,0
283277,0
178624,6
73851,0
235473,0
306073,0
169786,0
361917,7
238027,2
143548,0
75378,0
249231,1
200587,7
28533,0
322495,0
152381,0
176856,0
68419,0
185001,0
14133,2
357963,0
320773,0
225267,0
180066,3
198283,0
390936,1
272569,0
168237,0
120046,0
87409,0
56179,3
322654,0
118151,0
88978,1
251504,22
353480,0
402004,0
226617,1
74240,0
323086,0
146747,8
117946,6
361162,0
161658,0
157752,4
168851,0
339277,5
330444,1
294581,0
165481,1
203783,0
164429,0
51284,0
257991,0
312427,0
28201,0
396968,0
314584,0
20439,11
240016,0
262363,0
402600,3
372854,0
250743,1
70344,0
323069,1
246756,0
354695,0
343303,2
185850,0
111285,34
396673,0
389587,13
279609,0
27221,0
176553,1
88534,0
259111,2
196286,0
360078,7
336389,2
341983,0
92258,19
36611,0
415218,0
2924,2
270001,4
349288,0
82551,0
19726,0
171681,0
22322,0
307629,0
330642,0
58388,0
366652,0
385058,0
390202,0
301662,0
79223,0
355586,0
70010,0
76762,0
129170,12
201639,8
396411,0
84456,0
159858,0
239412,1
166460,1
30185,0
196875,0
325412,1
56091,1
396178,0
228804,0
153613,3
278942,0
311865,3
327504,0
273407,0
36649,0
59167,2
50165,0
367780,0
249331,0
370924,0
174770,0
354663,0
201766,0
138187,0
219906,2
159536,0
118497,0
182393,2
372200,0
192073,0
297421,1
83594,0
47873,0
153348,0
310323,0
72314,0
201011,7
22837,2
344851,1
330349,1
87034,1
51681,0
148905,0
376018,0
14802,0
118438,0
174472,0
252813,0
178589,6
151791,0
36334,0
238288,4
94418,0
271261,0
102888,0
343351,10
372311,0
116830,0
281786,1
186784,0
100021,0
168020,0
92344,3
144755,44
257949,0
274656,0
154986,0
70628,0
38950,2
386297,0
236490,0
184829,0
411266,0
119498,0
65160,0
102825,0
68276,0
132427,0
166400,1
50484,0
142052,6
43593,0
224554,1
9801,0
5078,0
199761,2
40002,1
333122,0
340848,0
40482,0
233300,18
386090,0
13253,0
87592,0
375497,50
170683,0
150677,0
63463,0
181001,0
362206,33
262931,0
100607,0
194889,0
415110,0
409039,1
53631,0
180259,0
279346,0
43752,9
286827,0
245097,0
79297,0
170028,1
145776,2
197507,0
262557,0
293244,0
383786,0
59755,3
50774,0
120201,0
288554,0
345647,9
121965,0
386854,0
21365,1
126400,1
236444,0
333518,0
16274,3
116374,0
337817,0
132089,0
157607,5
176300,0
396844,0
237223,0
25669,0
202847,6
263349,2
294282,0
241417,0
54676,0
49755,0
82507,0
162930,0
57064,0
409574,0
157591,2
410146,0
149310,0
329263,0
282668,0
139692,0
298430,3
119477,0
258517,0
317835,0
205804,0
75795,1
104490,2
16957,0
208730,0
389643,0
9115,0
288256,0
247237,3
82885,0
403975,2
360431,0
228163,0
207519,3
55110,0
52696,0
197748,0
337083,0
296342,0
241757,0
211059,0
280771,1
379819,0
196914,0
327187,0
411699,0
169772,5
414140,1
92743,0
389314,0
338714,6
289210,5
375150,0
33232,0
291353,0
154800,0
310640,0
343230,0
70199,1
293406,0
160725,1
112875,0
125345,0
324133,0
333341,0
413804,0
395344,6
395353,0
57842,0
118706,0
236526,0
54745,1
117612,0
328070,1
304126,0
20597,1
88216,0
386667,0
69628,0
269303,2
26781,0
255839,0
148328,1
240857,0
340393,2
215508,2
123236,0
164497,0
300500,0
262688,0
330376,1
404524,0
287626,0
154911,3
226015,0
257016,0
202724,0
203468,0
115945,0
406437,1
51896,0
364826,0
268250,0
214249,1
220514,0
399227,4
109855,1
374772,0
362711,0
405803,1
117242,0
250738,6
30342,0
366565,1
182763,1
231971,7
379185,0
24223,1
148170,0
376221,0
245648,0
90163,1
26864,0
301625,0
139547,0
236382,0
223412,3
39071,0
394224,0
353910,0
91635,2
402992,0
331162,0
296498,0
241741,0
354192,0
332482,2
361908,7
302052,0
133025,1
4704,0
262826,0
180093,1
52401,0
170930,8
403510,0
160791,0
258660,0
61788,0
335457,0
148078,0
340882,0
18879,0
398989,0
295457,0
387509,0
372602,0
119342,0
9349,0
263752,0
290780,6
360203,4
212576,0
300804,0
33095,1
343405,6
271001,0
53272,0
209371,0
304769,0
105221,1
90880,0
208940,1
44255,0
381418,1
89469,1
107608,0
237939,0
146968,1
19864,0
308143,0
73519,0
11789,0
159513,2
347365,0
101282,1
5440,0
233070,1
356515,0
